"Date","Price","Open","High","Low","Vol.","Change %"
"04-03-2026","276.95","287.00","288.35","275.10","53.72M","-1.86%"
"02-03-2026","282.20","288.00","293.00","277.65","65.84M","0.89%"
"27-02-2026","279.70","278.50","282.50","277.00","18.55M","-0.14%"
"26-02-2026","280.10","277.40","281.05","275.60","13.30M","0.96%"
"25-02-2026","277.45","276.50","278.95","274.00","7.57M","0.34%"
"24-02-2026","276.50","275.65","278.15","273.30","16.31M","0.31%"
"23-02-2026","275.65","279.90","279.90","272.20","13.11M","-1.08%"
"20-02-2026","278.65","277.40","280.80","274.35","31.97M","1.46%"
"19-02-2026","274.65","270.30","276.45","267.85","37.73M","3.80%"
"18-02-2026","264.60","265.00","266.10","262.55","11.62M","-2.67%"
"17-02-2026","271.85","273.00","273.00","268.10","21.29M","0.11%"
"16-02-2026","271.55","267.65","272.20","265.65","13.25M","1.55%"
"13-02-2026","267.40","270.00","271.35","266.00","20.75M","-3.24%"
"12-02-2026","276.35","276.00","280.30","273.45","22.75M","0.64%"
"11-02-2026","274.60","272.30","275.10","266.35","18.39M","0.90%"
"10-02-2026","272.15","267.25","273.05","267.00","13.46M","2.08%"
"09-02-2026","266.60","269.45","270.90","265.75","10.82M","-0.87%"
"06-02-2026","268.95","268.00","269.95","264.70","10.01M","-0.09%"
"05-02-2026","269.20","268.00","270.45","266.00","15.27M","0.84%"
"04-02-2026","266.95","258.05","270.00","258.05","26.63M","3.87%"
"03-02-2026","257.00","259.70","262.00","249.35","19.21M","1.20%"
"02-02-2026","253.95","251.60","257.00","247.60","17.02M","-0.14%"
"01-02-2026","254.30","269.00","275.85","253.00","17.18M","-5.45%"
"30-01-2026","268.96","273.89","276.50","268.01","24.42M","-2.33%"
"29-01-2026","275.39","270.00","277.77","269.01","48.27M","2.54%"
"28-01-2026","268.58","249.20","269.65","249.20","73.43M","8.32%"
"27-01-2026","247.95","246.60","248.99","245.89","15.92M","1.01%"
"23-01-2026","245.47","245.30","246.30","241.55","8.08M","0.60%"
"22-01-2026","244.01","244.60","246.47","242.57","10.75M","0.68%"
"21-01-2026","242.37","240.00","244.49","239.51","9.61M","0.82%"
"20-01-2026","240.39","243.11","245.34","239.71","6.50M","-1.12%"
"19-01-2026","243.11","245.00","248.00","242.30","6.46M","-1.64%"
